instance,rows,cols,ours_status,ours_objective,ours_seconds,highs_status,highs_objective,highs_seconds,gurobi_status,gurobi_objective,gurobi_seconds
afiro,27,32,OPTIMAL,-464.7531433231152,0.000105058,Optimal,-464.75314286,0.0,Optimal,-464.75314285714285,0.008381972999814025
sc50b,50,48,OPTIMAL,-69.99999999999996,0.000257255,Optimal,-70.0,0.0,Optimal,-70.0,0.0003743560000657453
sc50a,50,48,OPTIMAL,-64.57507705856447,0.00021755,Optimal,-64.575077059,0.0,Optimal,-64.57507705856449,0.00032856999951036414
kb2,43,41,OPTIMAL,-1749.9001299062052,0.000247016,Optimal,-1749.9001299,0.0,Optimal,-1749.9001299062058,0.000545759000488033
sc105,105,103,OPTIMAL,-52.20206121170723,0.000791492,Optimal,-52.202061212,0.0,Optimal,-52.202061211707246,0.0005304300002535456
adlittle,56,97,OPTIMAL,225494.96315282068,0.000629056,Optimal,225494.96316,0.0,Optimal,225494.96316238024,0.0006123040002421476
stocfor1,117,111,OPTIMAL,-41131.976263941804,0.000552072,Optimal,-41131.976219,0.0,Optimal,-41131.9762194364,0.0004973780005457229
blend,74,83,OPTIMAL,-30.812149845828237,0.000670715,Optimal,-30.812149846,0.0,Optimal,-30.81214984582825,0.0009114989998124656
scagr7,129,140,OPTIMAL,-2331389.8260901454,0.001277078,Optimal,-2331389.8243,0.0,Optimal,-2331389.824330984,0.0006107819999670028
sc205,205,203,OPTIMAL,-52.202061211707324,0.003034904,Optimal,-52.202061212,0.0,Optimal,-52.202061211707225,0.0008362769995073904
share2b,96,79,OPTIMAL,-415.73224074816466,0.000914935,Optimal,-415.73224074,0.0,Optimal,-415.73224074141933,0.0008153979997587157
recipe,91,180,OPTIMAL,-266.61600000000027,0.000410895,Optimal,-266.616,0.0,Optimal,-266.61600000000027,0.0003338090000397642
lotfi,153,308,OPTIMAL,-25.264706071511394,0.001835432,Optimal,-25.264706062,0.0,Optimal,-25.264706061880005,0.0009726039997985936
vtp.base,198,203,OPTIMAL,129831.46242348896,0.000623025,Optimal,129831.46246,0.0,Optimal,129831.46246136136,0.0006749219992343569
share1b,117,225,OPTIMAL,-76589.31858510466,0.00237528,Optimal,-76589.318579,0.0,Optimal,-76589.3185791857,0.00144523500057403
boeing2,166,143,OPTIMAL,-315.0187280152027,0.001418095,Optimal,-315.01872802,0.0,Optimal,-315.0187280152028,0.001107558000512654
bore3d,233,315,OPTIMAL,1373.0803933996842,0.001626578,Optimal,1373.0803942,0.0,Optimal,1373.0803942084924,0.0007769450003252132
scorpion,388,358,OPTIMAL,1878.1248107784845,0.004356597,Optimal,1878.1248227,0.0,Optimal,1878.1248227381068,0.0007762729992464301
capri,271,353,OPTIMAL,2690.012913082596,0.005670716,Optimal,2690.0129138,0.0,Optimal,2690.0129137681583,0.0016017800007830374
brandy,220,249,OPTIMAL,1518.5098961309666,0.005459236,Optimal,1518.5098965,0.0,Optimal,1518.509896488128,0.0025758969995877123
sctap1,300,480,OPTIMAL,1412.2500000000002,0.005006082,Optimal,1412.25,0.0,Optimal,1412.25,0.0018284870002389653
scagr25,471,500,OPTIMAL,-14753433.06416868,0.013720428,Optimal,-14753433.061,0.01,Optimal,-14753433.060768526,0.0027867640001204563
israel,174,142,OPTIMAL,-896644.8219625509,0.002532306,Optimal,-896644.82186,0.0,Optimal,-896644.8218630463,0.0016332189998138347
scfxm1,330,457,OPTIMAL,18416.75902524794,0.007465842,Optimal,18416.759028,0.01,Optimal,18416.759028348944,0.0035606230003395467
bandm,305,472,OPTIMAL,-158.62801854324172,0.012260274,Optimal,-158.62801845,0.01,Optimal,-158.628018450101,0.0034610849997989135
e226,223,282,OPTIMAL,-18.751929130010165,0.005382392,Optimal,-11.638929066,0.01,Optimal,-11.638929066370512,0.0037712699995609
grow7,140,301,OPTIMAL,-47787811.8147121,0.004164575,Optimal,-47787811.815,0.01,Optimal,-47787811.8147115,0.00459380099982809
etamacro,400,688,OPTIMAL,-755.7152331654567,0.010692958,Optimal,-755.7152333,0.01,Optimal,-755.7152328296324,0.004548715999590058
agg,488,163,OPTIMAL,-35991767.29036856,0.001102539,Optimal,-35991767.287,0.0,Optimal,-35991767.2865765,0.001317274000030011
