instance,rows,cols,ours_status,ours_objective,ours_seconds,highs_status,highs_objective,highs_seconds,highs_wall_seconds
afiro,27,32,OPTIMAL,-464.7531433231152,0.000102613,Optimal,-464.75314286,0.0,0.004571830999338999
sc50b,50,48,OPTIMAL,-69.99999999999996,0.000259368,Optimal,-70.0,0.0,0.0042825459995583515
sc50a,50,48,OPTIMAL,-64.57507705856447,0.000222218,Optimal,-64.575077059,0.0,0.0037786269995194743
kb2,43,41,OPTIMAL,-1749.9001299062052,0.000256053,Optimal,-1749.9001299,0.0,0.003880018000018026
sc105,105,103,OPTIMAL,-52.20206121170723,0.000792061,Optimal,-52.202061212,0.0,0.004476391000025615
adlittle,56,97,OPTIMAL,225494.96315282068,0.000641138,Optimal,225494.96316,0.0,0.004890070000328706
stocfor1,117,111,OPTIMAL,-41131.976263941804,0.000577718,Optimal,-41131.976219,0.0,0.004702485999587225
blend,74,83,OPTIMAL,-30.812149845828237,0.000746506,Optimal,-30.812149846,0.0,0.005411863000517769
scagr7,129,140,OPTIMAL,-2331389.8260901454,0.00115725,Optimal,-2331389.8243,0.0,0.005770677999862528
sc205,205,203,OPTIMAL,-52.202061211707324,0.003103355,Optimal,-52.202061212,0.0,0.005899220999708632
share2b,96,79,OPTIMAL,-415.73224074816466,0.000943217,Optimal,-415.73224074,0.0,0.005701117000171507
recipe,91,180,OPTIMAL,-266.61600000000027,0.000411815,Optimal,-266.616,0.0,0.0048389240000688005
lotfi,153,308,OPTIMAL,-25.264706071511394,0.001839014,Optimal,-25.264706062,0.0,0.006383953999829828
vtp.base,198,203,OPTIMAL,129831.46242348896,0.000619427,Optimal,129831.46246,0.0,0.005679517999851669
share1b,117,225,OPTIMAL,-76589.31858510466,0.002435056,Optimal,-76589.318579,0.0,0.007425165000313427
boeing2,166,143,OPTIMAL,-315.0187280152027,0.001456894,Optimal,-315.01872802,0.0,0.006459897000240744
bore3d,233,315,OPTIMAL,1373.0803933996842,0.001440974,Optimal,1373.0803942,0.0,0.0065556270001252415
scorpion,388,358,OPTIMAL,1878.1248107784845,0.004588482,Optimal,1878.1248227,0.0,0.008064679999733926
capri,271,353,OPTIMAL,2690.012913082596,0.00598391,Optimal,2690.0129138,0.0,0.008712801000001491
brandy,220,249,OPTIMAL,1518.5098961309666,0.0058028,Optimal,1518.5098965,0.01,0.009796241000003647
sctap1,300,480,OPTIMAL,1412.2500000000002,0.005012842,Optimal,1412.25,0.0,0.009571427999617299
scagr25,471,500,OPTIMAL,-14753433.06416868,0.013448479,Optimal,-14753433.061,0.01,0.010738094999396708
israel,174,142,OPTIMAL,-896644.8219625509,0.00254312,Optimal,-896644.82186,0.0,0.008358232000318822
scfxm1,330,457,OPTIMAL,18416.75902524794,0.007743816,Optimal,18416.759028,0.01,0.012340743999629922
bandm,305,472,OPTIMAL,-158.62801854324172,0.011943715,Optimal,-158.62801845,0.01,0.013492301999576739
e226,223,282,OPTIMAL,-18.751929130010165,0.005900914,Optimal,-11.638929066,0.01,0.010979208999742696
grow7,140,301,OPTIMAL,-47787811.8147121,0.00405625,Optimal,-47787811.815,0.01,0.01546915499966417
etamacro,400,688,OPTIMAL,-755.7152331654567,0.010717847,Optimal,-755.7152333,0.01,0.01424511999994138
agg,488,163,OPTIMAL,-35991767.29036856,0.001071217,Optimal,-35991767.287,0.0,0.009102695000365202
finnis,497,614,OPTIMAL,172791.06533209782,0.007135289,Optimal,172791.0656,0.0,0.009144794000349066
scsd1,77,760,OPTIMAL,8.666666674333367,0.003545047,Optimal,8.6666666743,0.0,0.007826711999769032
standata,359,1075,OPTIMAL,1257.699498791334,0.003725537,Optimal,1257.6995,0.01,0.010528169000281196
beaconfd,173,262,OPTIMAL,33592.48580567047,0.001026974,Optimal,33592.485807,0.0,0.008660671999678016
stair,356,467,OPTIMAL,-251.26695119296554,0.022523572,Optimal,-251.26695119,0.01,0.019652093999866338
gfrd-pnc,616,1092,OPTIMAL,6902235.999548577,0.019025314,Optimal,6902235.9995,0.01,0.012015380000775622
standmps,467,1075,OPTIMAL,1406.0174988320684,0.009017103,Optimal,1406.0175,0.01,0.01248179899994284
scrs8,490,1169,OPTIMAL,904.2969536120522,0.022070609,Optimal,904.2969538,0.01,0.014465145000031043
boeing1,351,384,OPTIMAL,-335.21356757753233,0.010701316,Optimal,-335.21356751,0.01,0.015862004999689816
modszk1,687,1620,OPTIMAL,320.61972906241226,0.066401886,Optimal,320.61972906,0.01,0.01774933999968198
tuff,333,587,OPTIMAL,0.292147765093613,0.008225403,Optimal,0.29214776509,0.01,0.013879651999559428
degen2,444,534,OPTIMAL,-1435.178,0.051984801,Optimal,-1435.178,0.01,0.017325923000498733
forplan,161,421,OPTIMAL,-664.2189612722038,0.006090201,Optimal,-664.21896127,0.01,0.010523881000153779
agg2,516,302,OPTIMAL,-20239252.355977118,0.002423174,Optimal,-20239252.356,0.01,0.011274274999777845
agg3,516,302,OPTIMAL,10312115.935022475,0.002715234,Optimal,10312115.935,0.0,0.011363322999386583
shell,536,1775,OPTIMAL,1208825345.9976256,0.014910183,Optimal,1208825346.0,0.01,0.018873838000217802
scfxm2,660,914,OPTIMAL,36660.261558653656,0.026939259,Optimal,36660.261565,0.02,0.021626371999445837
pilot4,410,1000,OPTIMAL,-2581.1392588872313,0.062325879,Optimal,-2581.1392589,0.02,0.028210313000272436
scsd6,147,1350,OPTIMAL,50.500000078262374,0.013980301,Optimal,50.500000078,0.01,0.012886610999885306
ship04s,402,1458,OPTIMAL,1798714.699814752,0.00535726,Optimal,1798714.7004,0.01,0.012470628000301076
seba,515,1028,OPTIMAL,15711.6,0.014450708,Optimal,15711.6,0.0,0.011707130000104371
grow15,300,645,OPTIMAL,-106870941.29358006,0.039010876,Optimal,-106870941.29,0.03,0.03797209899948939
fffff800,524,854,OPTIMAL,555679.5633862277,0.023119775,Optimal,555679.56482,0.01,0.01891789199999039
bnl1,643,1175,OPTIMAL,1977.6295467503494,0.054191377,Optimal,1977.6295615,0.02,0.0268685959999857
perold,625,1376,OPTIMAL,-9380.755280034542,0.232533318,Optimal,-9380.7552782,0.05,0.05519928499961679
scfxm3,990,1371,OPTIMAL,54901.25454016932,0.056894538,Optimal,54901.25455,0.02,0.031617249000191805
ship04l,402,2118,OPTIMAL,1793324.537958273,0.012500264,Optimal,1793324.538,0.01,0.01456734699968365
ganges,1309,1681,OPTIMAL,-109585.73613077587,0.053108688,Optimal,-109585.73613,0.01,0.02043143199989572
sctap2,1090,1880,OPTIMAL,1724.807142857143,0.048740571,Optimal,1724.8071429,0.01,0.02056458199967892
grow22,440,946,OPTIMAL,-160834336.48256445,0.091833555,Optimal,-160834336.48,0.06,0.07270218200028467
ship08s,778,2387,OPTIMAL,1920098.2087385752,0.010417742,Optimal,1920098.2105,0.01,0.01748644500003138
maros,846,1443,OPTIMAL,-58063.74370622383,0.065335998,Optimal,-58063.743701,0.03,0.03993314300078055
stocfor2,2157,2031,OPTIMAL,-39024.408580155476,0.145361302,Optimal,-39024.408538,0.02,0.03271605999998428
25fv47,821,1571,OPTIMAL,5501.845886543759,0.335420081,Optimal,5501.8458883,0.11,0.1172823070000959
ship12s,1151,2763,OPTIMAL,1489236.1323419556,0.018379898,Optimal,1489236.1344,0.01,0.01998669400018116
scsd8,397,2750,OPTIMAL,904.9999999254721,0.035676646,Optimal,904.99999993,0.03,0.03956116200060933
fit1p,627,1677,OPTIMAL,9146.378092420933,0.100046765,Optimal,9146.3780924,0.03,0.043910003000746656
sctap3,1480,2480,OPTIMAL,1424,0.117826151,Optimal,1424.0,0.01,0.023726308000732388
sierra,1227,2036,OPTIMAL,15394362.183631929,0.026576706,Optimal,15394362.184,0.01,0.025423613999919326
pilotnov,975,2172,OPTIMAL,-4497.2761882188715,0.356438438,Optimal,-4497.2761882,0.11,0.12661205899985362
czprob,929,3523,OPTIMAL,2185196.6982028508,0.060594327,Optimal,2185196.6989,0.02,0.03515606499968271
fit1d,24,1026,OPTIMAL,-9146.378092420933,0.02002154,Optimal,-9146.3780924,0.01,0.020550936999825353
ship08l,778,4283,OPTIMAL,1909055.2113097194,0.032443687,Optimal,1909055.2114,0.02,0.028276697999899625
bnl2,2324,3489,OPTIMAL,1811.2365395136935,0.635079659,Optimal,1811.2365404,0.04,0.054548580999835394
nesm,662,2923,OPTIMAL,14076036.487507246,0.241850617,Optimal,14076036.488,0.12,0.12958656099999644
cycle,1903,2857,OPTIMAL,-5.226393024730415,0.245754329,Optimal,-5.2263930249,0.18,0.19721433600079763
ship12l,1151,5427,OPTIMAL,1470187.9187727147,0.069103263,Optimal,1470187.9193,0.02,0.03731362899998203
degen3,1503,1818,OPTIMAL,-987.294,3.144972071,Optimal,-987.294,0.13,0.14307841300069413
greenbea,2392,5405,OPTIMAL,-72555248.12989117,10.631015321,Optimal,-72555248.13,0.17,0.19159100500019122
greenbeb,2392,5405,OPTIMAL,-4302260.261207781,6.981093125,Optimal,-4302260.2612,0.3,0.31828793400018185
80bau3b,2262,9799,OPTIMAL,987224.1922007984,0.68932082,Optimal,987224.19241,0.1,0.11994030300047598
d2q06c,2171,5167,OPTIMAL,122784.21081106756,12.30866333,Optimal,122784.21081,0.56,0.5805002209999657
woodw,1098,8405,OPTIMAL,1.3044763330842293,0.463121894,Optimal,1.3044763331,0.06,0.08168620299966278
d6cube,415,6184,OPTIMAL,315.49166666142935,10.267739735,Optimal,315.49166667,0.1,0.12290687099994102
pilot,1441,3652,OPTIMAL,-557.4897292835001,11.939417178,Optimal,-557.48972927,0.8,0.8245868289995997
dfl001,6071,12230,OPTIMAL,11266393.305640062,2.191130234,Optimal,11266396.047,5.03,5.058629595000639
wood1p,244,2594,OPTIMAL,1.442902402999169,0.032906178,Optimal,1.4429024116,0.05,0.09129907899932732
